product_author,product_name,product_price
Jacob Ward,The Loop: How Technology Is Creating a World Without Choices and How to Fight Back,26.10
Roselyn Teukolsky,"AP Computer Science A Premium, 2022-2023: 6 Practice Tests + Comprehensive Review + Online Practice (Barron's Test Prep)",26.76
"Saurabh Shrivastava,Szeliski, Richard,et al.","Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",49.99
"Szeliski, Richard",Computer Vision: Algorithms and Applications (Texts in Computer Science),89.95
Frederick Vallaeys,Unlevel the Playing Field: The Biggest Mindshift in PPC History,6.49
Karine Leblanc,How to Be Human in a Technical World: Discover the Six Magic Skills that Will Change Your Behavior and Your Life,14.95
David Ping,The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,44.99
"Magine, Ali","Fundamental Intelligence, Volume I: AI as a Label: Rethinking Natural and Artificial Intelligence",0.00
Rodolfo B. Outten,Summary of The Loop: How Technology is Creating a World Without Choices and How to Fight Back by Jacob Ward,8.99
"Lingfei Wu,Xury Greer,et al.","Graph Neural Networks: Foundations, Frontiers, and Applications",119.99
Xury Greer,"Sculpting the Blender Way: Explore Blender's 3D sculpting workflows and latest features, including Face Sets, Mesh Filters, and the Cloth brush",49.99
Saleh Alkhalifa,Machine Learning in Biotechnology and Life Sciences: Build machine learning models using Python and deploy them on the cloud,49.99
Samuel Larsen-Disney,"Elevating React Web Development with Gatsby: Practical guide to building performant, accessible, and interactive web apps with React and Gatsby.js 4",39.99
"JONES, JONAH","MICROSOFT ONEDRIVE SIMPLIFIED FOR ALL USERS: A COMPREHENSIVE STEP-BY-STEP GUIDE FOR INDIVIDUALS & BUSINESSES TO GAIN MASTERY, & EFFICIENTLY USE MICROSOFT ONEDRIVE SOFTWARE ON WINDOWS PCs MAC, TABLE",0.00
Jong Chul Ye,"Geometry of Deep Learning: A Signal Processing Perspective (Mathematics in Industry, 37)",89.99
WEBSTER TYLER,"Excel 2022: A Step-By-Step Approach to Learning the Fundamentals of Excel Grasping Advanced Features like Business Modelling, Sampling Design and Numerous Data Analysis Techniques",0.00
Jack Xu,Practical GPU Graphics with wgpu and Rust: Creating Advanced Graphics on Native Devices and the Web in Rust Using wgpu - the Next Graphics API,69.99
"Hur, Byul",Learning Embedded Systems with MSP432 Microcontrollers: MSP432P401R with Code Composer Studio,23.50
"Hosseinabady PhD, Mohammad",Structured Accelerator Design: Patterns for High-Level Synthesis (River Publishers Series in Circuits and Systems),115.00
Mark Reed,C#: The Ultimate Intermediate Guide To Learn C# Programming Step By Step (Computer Programming),0.00
